PAR([mmol (photons) m-2 s-1]),Tradescantia_avg,Tradescantia_std,Peperomia_avg,Peperomia_std,Monalisa_avg,Monalisa_std,Philodendron_avg,Philodendron_std,Chlorophytum_avg,Chlorophytum_std,Sphatophilum_avg,Sphatophilum_std
104,2.5553145257413754,0.7858990437535713,1.7797829889519532,1.2854674739929834,2.735263244459402,1.2782354333045103,1.8146539110909135,1.209397946223806,6.76862028035143,1.70408585037465,5.870123641057781,2.2674000050427017
105,2.5721624633390445,0.7901926910659797,1.789328321911177,1.287979819003111,2.7514703611322098,1.282042780735597,1.8199560515009086,1.21116854262732,6.800845632821712,1.7122116042501028,5.889495187839018,2.278865819839714
106,2.588831102530679,0.7944368281647347,1.7988091379612723,1.2904361730900835,2.7675748674912484,1.2857920309578212,1.825196863884207,1.212903809459165,6.832767463925802,1.7202887386651744,5.90860351015417,2.2902028176376388
107,2.6053232210704365,0.7986322649938278,1.8082263730417314,1.2928378898359696,2.7835779568468837,1.2894842825867825,1.8303774837755802,1.2146045656296305,6.864390022727586,1.7283179410895047,5.9274530956231795,2.30141257832529
108,2.6216415390027517,0.802779794962161,1.8175809409234975,1.2951862860187315,2.799480800633823,1.2931206087496292,1.835499016919342,1.2162716066155297,6.895717476399924,1.7362998774612435,5.9460483283156,2.3124966598876524
109,2.637788720166537,0.8068801952984035,1.8268737339167798,1.2974826428152084,2.815284548954534,1.2967020578172095,1.840562540276897,1.2179057052765583,6.926753912249023,1.7442351930784408,5.964393491784828,2.323456598630062
110,2.6537673736522334,0.8109342274014776,1.8361056235509965,1.2997282069574645,2.8309903311057405,1.3002296541110885,1.8455691029926606,1.219507612637756,6.957503339677505,1.7521245134504007,5.982492771993923,2.3342939094086606
111,2.6695800552134417,0.8149426371862692,1.8452774612281395,1.3019241918446016,2.846599256088638,1.3037043985864463,1.8505197273203773,1.2210780586397192,6.987969692088458,1.7599684451108963,6.000350260137585,2.3450100858662806
112,2.6852292686347923,0.8189061554242315,1.8543900788507963,1.3040717786120137,2.86211241310342,1.3071272694918035,1.8554154095117608,1.2226177528581073,7.0181568287325256,1.767767576395037,6.0179699553646575,2.355606600673027
113,2.7007174670576206,0.8228254980785957,1.8634442894259686,1.3061721171599587,2.877530872028689,1.3104992230064925,1.8602571206692586,1.2241273851939163,7.04806853650006,1.7755224781814765,6.035355767405324,2.3660849057708337
114,2.7160470542649935,0.8267013666339753,1.8724408876458054,1.3082263271432477,2.892855683886319,1.3138211938567486,1.8650458075646534,1.2256076265358902,7.077708531660266,1.783233704601601,6.05251151910694,2.376446432621352
115,2.7312203859275135,0.8305344484201708,1.8813806504462838,1.31023549892374,2.908087881292284,1.3170940959112507,1.869782393425121,1.2270591293963933,7.107080461549207,1.7909017937172187,6.069440948882269,2.3866925924566065
116,2.7462397708113273,0.8343254169300401,1.8902643375448203,1.312200694487266,2.923228478893966,1.320318822756913,1.8744677786882653,1.2284825285219756,7.136187906208448,1.798527268168236,6.0861477130737,2.3968247765318353
117,2.7611074719496496,0.8380749321313248,1.8990926919577606,1.3141229483265118,2.938278473794424,1.3234962482556825,1.8791028417275788,1.2298784414798032,7.165034379976031,1.806110635791695,6.102635388236869,2.4068443563800406
118,2.7758257077791146,0.8417836407723592,1.9078664404986263,1.3160032682913276,2.9532388459640857,1.3266272270830757,1.8836884395497018,1.2312474692210678,7.193623333031449,1.813652390213509,6.118907473346935,2.4167526840677875
119,2.790396653242171,0.8454521766816141,1.916586294257972,1.317842636407846,2.9681105586403276,1.3297125952491475,1.8882254084647576,1.2325901966224302,7.22195815289615,1.821153011414158,6.134967391930601,2.426551092451816
120,2.804822440856707,0.8490811610610447,1.9252529490656418,1.3196420096677404,2.982894558715333,1.3327531706025586,1.892714564731016,1.2339071930064889,7.250042165891153,1.828612966269548,6.150818494126851,2.436240895436094
121,2.8191051617540586,0.8526712027732477,1.9338670859362057,1.3214023207888759,2.997591777112684,1.3357497533183786,1.8971567051750182,1.235199012642221,7.277878638553154,1.8360327090681685,6.166464058679217,2.445823388228957
122,2.833246866686465,0.8562228986224321,1.942429371498274,1.3231244789485592,3.0122031291530367,1.3387031263702314,1.9015526077882876,1.2364661952263012,7.3054707790105695,1.8434126820056467,6.181907294862254,2.455299847599993
123,2.8472495670050506,0.8597368336292431,1.950940458408405,1.324809370490521,3.0267295149092948,1.341614055987371,1.905903032301653,1.2377092663461362,7.332821738320845,1.8507533156577303,6.197151344344825,2.4646715321364114
124,2.8611152356093132,0.8632135812994697,1.9594009857502368,1.3264578596067276,3.0411718195516095,1.3444832920972432,1.91020872073819,1.2389287379254335,7.35993461177032,1.8580550294326914,6.2121992829926045,2.4739396824985924
125,2.8748458078691157,0.8666537038867044,1.9678115794194813,1.3280707889950567,3.055530913682587,1.347311568754066,1.9144703979457072,1.2401251086530651,7.386812440137867,1.8653182320040753,6.227054122612179,2.483105521674586
126,2.888443182520084,0.8700577526490121,1.9761728524953652,1.3296489804938234,3.0698076536630086,1.3500996045539484,1.91868877210968,1.2412988643959613,7.413458210923561,1.8725433217247187,6.241718812638968,2.4921702552333485
