Ca,Tradescantia_low_1,Tradescantia_low_2,Tradescantia_low_3,Tradescantia_medium_1,Tradescantia_medium_2,Tradescantia_medium_3,Tradescantia_high_1,Tradescantia_high_2,Tradescantia_high_3,Monalisa_low_1,Monalisa_low_2,Monalisa_low_3,Monalisa_medium_1,Monalisa_medium_2,Monalisa_medium_3,Peperomia_low_1,Peperomia_low_2,Peperomia_low_3,Peperomia_medium_1,Peperomia_medium_3,Peperomia_high_2,Sphatophilum_low_1,Sphatophilum_low_2,Sphatophilum_low_3,Sphatophilum_medium_1,Sphatophilum_medium_2,Sphatophilum_medium_3,Sphatophilum_high_1,Sphatophilum_high_3,Philodendron_low_1,Philodendron_low_2,Philodendron_low_3,Philodendron_medium_1,Philodendron_medium_2,Philodendron_medium_3,Philodendron_high_1,Philodendron_high_2,Philodendron_high_3,Chlorophytum_low_1,Chlorophytum_low_2,Chlorophytum_low_3,Chlorophytum_high_1,Chlorophytum_high_2,Chlorophytum_high_3
1429,6.493304483051174,8.607369067808369,6.973009113814708,10.413707877940134,9.661543852946966,9.064231914682715,8.007653128693594,7.235057484265347,6.223386910851048,8.972201886263978,4.567181658142338,3.5170702485283214,3.707700888648516,9.025817788675344,12.912052292023885,5.708686345684985,8.711759959812472,7.993872987164888,9.691989236509423,5.007609542992604,5.8394635642501465,6.378908522084788,4.616817923527505,7.118808876412629,10.940967925146175,6.806123940366441,3.4399790656255886,8.960508096910615,8.306144478199894,4.044316097625912,4.111391341420653,2.5729925756175627,3.368013904447555,4.381117981682863,4.891784046135783,5.253311052918672,9.012939273122484,0.47494726579573976,6.119881937494737,5.5155218038698495,5.258813571605258,6.238631931709587,4.992533316090379,5.671366831092954
1430,6.493971573419227,8.607369067808369,6.973009113814708,10.414829519110244,9.661543852946966,9.06516522010334,8.008404754200587,7.235057484265347,6.225696460142349,8.973340842110833,4.56765535561734,3.5174825072798495,3.708225216385876,9.02715405756329,12.912052292023885,5.711046571642034,8.713783813283177,7.996180794822714,9.695501476276066,5.008682809374717,5.842913183926217,6.379899460100962,4.617702005016733,7.119725319134263,10.942279577019743,6.807778130647501,3.440767047891042,8.960508096910615,8.308247050299489,4.045246231631438,4.112263348370007,2.573552177575583,3.3697375604197486,4.38174344025914,4.89326141887874,5.254478307703279,9.015685932663416,0.4752281528893152,6.120529843752105,5.516140190923935,5.259400652553539,6.240061101755159,4.993234617482649,5.672161393548107
1431,6.49463866378728,8.607369067808369,6.973009113814708,10.415951160280356,9.661543852946966,9.066098525523966,8.009156379707582,7.235057484265347,6.228006009433651,8.974479797957688,4.568129053092343,3.5178947660313775,3.708749544123236,9.028490326451237,12.912052292023885,5.713406797599084,8.715807666753882,7.99848860248054,9.699013716042707,5.009756075756829,5.846362803602287,6.3808903981171365,4.61858608650596,7.120641761855897,10.943591228893313,6.809432320928559,3.4415550301564957,8.960508096910615,8.310349622399084,4.046176365636964,4.11313535531936,2.574111779533603,3.3714612163919417,4.382368898835418,4.894738791621699,5.255645562487885,9.018432592204348,0.47550903998289057,6.1211777500094735,5.516758577978022,5.259987733501819,6.241490271800731,4.99393591887492,5.6729559560032605
1432,6.495305754155334,8.607369067808369,6.973009113814708,10.417072801450468,9.661543852946966,9.06703183094459,8.009908005214575,7.235057484265347,6.230315558724953,8.975618753804541,4.5686027505673446,3.518307024782905,3.7092738718605958,9.029826595339184,12.912052292023885,5.7157670235561335,8.717831520224587,8.000796410138367,9.70252595580935,5.010829342138941,5.849812423278358,6.38188133613331,4.619470167995188,7.121558204577531,10.94490288076688,6.811086511209619,3.442343012421949,8.960508096910615,8.312452194498677,4.04710649964249,4.1140073622687146,2.574671381491623,3.3731848723641353,4.382994357411695,4.896216164364657,5.2568128172724915,9.021179251745279,0.47578992707646595,6.121825656266841,5.517376965032109,5.260574814450099,6.242919441846303,4.99463722026719,5.673750518458413
1433,6.495972844523386,8.607369067808369,6.973009113814708,10.41819444262058,9.661543852946966,9.067965136365215,8.01065963072157,7.235057484265347,6.232625108016254,8.976757709651396,4.569076448042347,3.518719283534433,3.709798199597955,9.03116286422713,12.912052292023885,5.7181272495131825,8.719855373695292,8.003104217796194,9.706038195575992,5.011902608521054,5.853262042954428,6.382872274149485,4.620354249484416,7.122474647299165,10.946214532640449,6.812740701490678,3.4431309946874027,8.960508096910615,8.314554766598272,4.048036633648016,4.114879369218068,2.5752309834496434,3.3748608902200674,4.383619815987972,4.897693537107616,5.257980072057098,9.023925911286211,0.4760708141700413,6.122473562524209,5.517995352086195,5.261161895398379,6.244348611891875,4.995338521659461,5.674545080913566
1434,6.49663993489144,8.607369067808369,6.973009113814708,10.41931608379069,9.661543852946966,9.06889844178584,8.011397827952951,7.235057484265347,6.234934657307555,8.977896665498251,4.56955014551735,3.5191315422859613,3.710322527335315,9.03249913311508,12.912052292023885,5.720487475470232,8.721879227165998,8.005412025454019,9.709550435342633,5.012975874903167,5.8567116626305,6.383863212165659,4.621238330973643,7.123391090020799,10.947526184514016,6.814394891771737,3.4439189769528564,8.960508096910615,8.316657338697867,4.048966767653542,4.115751376167422,2.5757905854076637,3.3765369080759995,4.3842452745642495,4.899170909850573,5.259147326841704,9.026672570827142,0.47635170126361676,6.1231214687815765,5.518613739140282,5.261748976346659,6.245777781937448,4.996039823051731,5.675339643368719
1435,6.497307025259493,8.607369067808369,6.973009113814708,10.420437724960802,9.661543852946966,9.069831747206466,8.012136025184333,7.235057484265347,6.237244206598857,8.979035621345107,4.570023842992352,3.519543801037489,3.710846855072675,9.033835402003026,12.912052292023885,5.722847701427281,8.723903080636703,8.007719833111846,9.713062675109276,5.0140491412852795,5.86016128230657,6.384854150181834,4.622122412462871,7.124307532742433,10.948837836387584,6.816049082052796,3.4447069592183097,8.960508096910615,8.31875991079746,4.049847054261957,4.116623383116776,2.576350187365684,3.378212925931931,4.384870733140527,4.900648282593532,5.26031458162631,9.029419230368074,0.47663258835719213,6.12375819910534,5.519232126194368,5.26233605729494,6.24720695198302,4.996741124444002,5.676134205823872
1436,6.497974115627547,8.607369067808369,6.973009113814708,10.421559366130914,9.661543852946966,9.070765052627092,8.012874222415713,7.235057484265347,6.239553755890158,8.98017457719196,4.570489001276634,3.519956059789017,3.711371182810035,9.035171670890973,12.912052292023885,5.725207927384331,8.725926934107408,8.010027640769673,9.716574914875919,5.015122407667391,5.863610901982641,6.385845088198009,4.623006493952099,7.125223975464067,10.950149488261154,6.817703272333856,3.4454949414837635,8.960508096910615,8.320862482897056,4.050727340870374,4.1174953900661295,2.576909789323704,3.379888943787863,4.385496191716804,4.90212565533649,5.261481836410916,9.032165889909004,0.4769134754507675,6.124394929429102,5.519850513248454,5.26292313824322,6.248636122028592,4.9974424258362715,5.6769287682790255
1437,6.498641205995599,8.607369067808369,6.973009113814708,10.422681007301025,9.661543852946966,9.071698358047716,8.013612419647094,7.235057484265347,6.24186330518146,8.981313533038815,4.570954159560916,3.520368318540545,3.7118955105473947,9.03650793977892,12.912052292023885,5.727568153341381,8.727950787578113,8.012335448427498,9.72008715464256,5.016195674049504,5.867060521658711,6.386836026214183,4.623890575441326,7.126140418185701,10.951461140134722,6.819357462614915,3.4462829237492167,8.960508096910615,8.32296505499665,4.0516076274787896,4.118367397015484,2.577469391281724,3.3815649616437953,4.386121650293081,4.9036030280794485,5.262649091195523,9.034912549449936,0.47719436254434294,6.125031659752866,5.520468900302541,5.263510219191501,6.250065292074164,4.998143727228542,5.677723330734178
1438,6.499308296363653,8.607369067808369,6.973009113814708,10.423802648471137,9.661543852946966,9.072631663468341,8.014350616878476,7.235057484265347,6.244172854472761,8.98245248888567,4.571419317845198,3.520780577292073,3.7124198382847546,9.037844208666867,12.912052292023885,5.72992837929843,8.729974641048818,8.014643256085325,9.723599394409202,5.017268940431617,5.8705101413347816,6.387826964230357,4.624774656930554,7.127056860907335,10.95277279200829,6.821011652895974,3.4470709060146705,8.960508096910615,8.325067627096244,4.052487914087205,4.119239403964837,2.5780289932397444,3.3832409794997274,4.386747108869359,4.905080400822406,5.263816345980129,9.037659208990869,0.4774752496379183,6.125668390076628,5.521087287356628,5.264088050888052,6.251494462119736,4.998845028620813,5.678517893189332
1439,6.4999193783894516,8.607369067808369,6.973009113814708,10.424924289641249,9.661543852946966,9.073564968888967,8.015088814109857,7.235057484265347,6.2464824037640625,8.983591444732523,4.57188447612948,3.5211928360436007,3.712944166022114,9.039180477554813,12.912052292023885,5.73228860525548,8.731998494519523,8.016951063743152,9.727111634175845,5.018342206813729,5.873959761010853,6.388817902246531,4.625658738419781,7.127973303628969,10.954084443881857,6.822665843177034,3.4478588882801238,8.960508096910615,8.32717019919584,4.053368200695622,4.120111410914191,2.5785885951977647,3.3849169973556594,4.387372567445636,4.906557773565365,5.264983600764736,9.0404058685318,0.4777561367314937,6.126305120400391,5.521705674410714,5.2646658825846036,6.2529236321653086,4.999546330013083,5.679312455644484
1440,6.50053046041525,8.607369067808369,6.973009113814708,10.42604593081136,9.661543852946966,9.074498274309592,8.015827011341237,7.235057484265347,6.248791953055364,8.984730400579378,4.5723496344137615,3.5216050947951287,3.713468493759474,9.04051674644276,12.912052292023885,5.734648831212529,8.734022347990228,8.019258871400977,9.730623873942488,5.019415473195842,5.877409380686923,6.389808840262706,4.626542819909009,7.128889746350603,10.955396095755425,6.8243200334580925,3.4486468705455775,8.960508096910615,8.329272771295432,4.054248487304037,4.120983417863545,2.579148197155785,3.3865930152115915,4.387998026021913,4.908035146308323,5.266150855549342,9.043152528072731,0.4780370238250691,6.126941850724155,5.522324061464801,5.265243714281156,6.254352802210881,5.000211274460982,5.680107018099637
1441,6.501141542441049,8.607369067808369,6.973009113814708,10.427167571981471,9.661543852946966,9.075431579730216,8.016565208572619,7.235057484265347,6.251101502346666,8.985869356426234,4.572814792698043,3.521982673991894,3.713992821496834,9.041853015330709,12.912052292023885,5.737009057169579,8.736046201460933,8.021566679058804,9.734136113709129,5.020488739577954,5.880859000362994,6.390770248589154,4.627397554965699,7.129806189072237,10.956707747628995,6.825974223739152,3.4494348528110312,8.960508096910615,8.331375343395027,4.055128773912454,4.121855424812899,2.579707799113805,3.388269033067523,4.38862348459819,4.909412242862691,5.267318110333948,9.045899187613662,0.4783179109186445,6.127578581047917,5.5228850340552,5.265821545977707,6.255781972256453,5.00087621890888,5.68090158055479
1442,6.501752624466848,8.607369067808369,6.973009113814708,10.428289213151583,9.661543852946966,9.076364885150841,8.017303405804,7.235057484265347,6.2534110516379675,8.987008312273089,4.573279950982325,3.5223602531886593,3.7145171492341937,9.043189284218656,12.912052292023885,5.739369283126629,8.738070054931638,8.02387448671663,9.737648353475771,5.0215620059600665,5.884308620039064,6.391731656915603,4.62825229002239,7.130722631793871,10.958019399502563,6.827628414020211,3.4502228350764845,8.960508096910615,8.333477915494623,4.05600906052087,4.122727431762253,2.580267401071825,3.389945050923455,4.389248943174468,4.91078933941706,5.268485365118554,9.048645847154594,0.4785987980122199,6.12821531137168,5.5234460066455995,5.266399377674259,6.257211142302025,5.001541163356779,5.681696143009943
1443,6.5023637064926465,8.607369067808369,6.973009113814708,10.429410854321695,9.661543852946966,9.077298190571467,8.018041603035382,7.235057484265347,6.255720600929268,8.988147268119942,4.573745109266607,3.5227378323854244,3.7150414769715536,9.044525553106602,12.912052292023885,5.741729509083678,8.740093908402343,8.026182294374456,9.741160593242414,5.022635272342179,5.887758239715135,6.392693065242051,4.6291070250790805,7.131639074515505,10.95933105137613,6.82928260430127,3.4510108173419383,8.960508096910615,8.335580487594216,4.056889347129285,4.123599438711607,2.5808270030298455,3.3916210687793873,4.389874401750745,4.912166435971429,5.269652619903161,9.051392506695526,0.47887968510579526,6.128852041695444,5.524006979235999,5.26697720937081,6.258640312347597,5.002206107804678,5.682490705465097
1444,6.502974788518445,8.607369067808369,6.973009113814708,10.430532495491807,9.661543852946966,9.078231495992092,8.018779800266763,7.235057484265347,6.25803015022057,8.989286223966797,4.574210267550889,3.5231154115821894,3.7155658047089135,9.04586182199455,12.912052292023885,5.744089735040728,8.741976128057924,8.028490102032283,9.744672833009055,5.023708538724292,5.891207859391206,6.3936544735685,4.629961760135772,7.132555517237138,10.960642703249698,6.83093679458233,3.4517987996073916,8.960508096910615,8.337683059693811,4.057769633737702,4.12447144566096,2.5813621670087006,3.3932970866353194,4.390499860327022,4.9135435325257975,5.270819874687767,9.054139166236457,0.47916057219937064,6.129488772019206,5.524567951826399,5.267555041067362,6.2600694823931695,5.002871052252577,5.683285267920249
